id, sex, age, job, total, avrprice, variety, period, cpnsurvey, cpntype, cpnclick, cpnprice
36, 1, 28, 2, 65.0, 1.2, 3.2, 0.2, 4, 2, 1, 4.0
37, 1, 54, 1, 71.5, 1.3, 3.5, 0.2, 5, 1, 1, 999.0
38, 2, 54, 2, 63.7, 1.5, 3.1, 0.1, 2, 2, 9, 999.0
39, 2, 44, 1, 57.2, 1.3, 3.0, 0.2, 4, 1, 9, 999.0
40, 1, 20, 2, 66.3, 1.5, 3.4, 0.2, 1, 2, 1, 4.1
41, 2, 52, 3, 65.0, 1.3, 3.5, 0.3, 3, 1, 1, 5.0
42, 2, 60, 1, 58.5, 1.3, 2.3, 0.3, 5, 2, 9, 999.0
43, 2, 51, 3, 57.2, 1.3, 3.2, 0.2, 2, 1, 1, 999.0
44, 1, 46, 1, 65.0, 1.6, 3.5, 0.6, 4, 2, 1, 4.0
45, 1, 40, 3, 66.3, 1.9, 3.8, 0.4, 5, 1, 1, 5.1
46, 2, 57, 1, 62.4, 1.4, 3.0, 0.3, 1, 2, 1, 3.8
47, 2, 37, 3, 66.3, 1.6, 3.8, 0.2, 2, 1, 9, 999.0
48, 1, 57, 2, 59.8, 1.4, 3.2, 0.2, 3, 2, 1, 999.0
49, 1, 46, 3, 68.9, 1.5, 3.7, 0.2, 1, 1, 1, 5.3
50, 2, 53, 3, 65.0, 1.4, 3.3, 0.2, 4, 2, 9, 999.0
51, 1, 49, 1, 91.0, 4.7, 3.2, 1.4, 1, 1, 1, 7.0
52, 2, 25, 1, 83.2, 4.5, 3.2, 1.5, 2, 2, 1, 6.4
53, 1, 57, 2, 89.7, 4.9, 3.1, 1.5, 2, 1, 1, 999.0
54, 1, 29, 1, 71.5, 4.0, 2.3, 1.3, 5, 2, 1, 5.5
55, 2, 28, 1, 84.5, 4.6, 2.8, 1.5, 1, 1, 9, 999.0
56, 2, 36, 3, 74.1, 4.5, 2.8, 1.3, 3, 2, 1, 4.7
57, 1, 43, 3, 81.9, 4.7, 3.3, 1.6, 4, 1, 9, 999.0
58, 2, 41, 1, 63.7, 3.3, 2.4, 1.0, 1, 2, 1, 3.9
59, 2, 25, 2, 85.8, 4.6, 2.9, 1.3, 5, 1, 9, 999.0
60, 2, 23, 1, 67.6, 3.9, 2.7, 1.4, 1, 2, 1, 4.1
61, 2, 29, 3, 65.0, 3.5, 2.0, 1.0, 1, 1, 1, 5.0
62, 2, 25, 3, 76.7, 4.2, 3.0, 1.5, 4, 2, 9, 999.0
63, 2, 45, 1, 78.0, 4.0, 2.2, 1.0, 1, 1, 1, 6.0
64, 2, 33, 3, 79.3, 4.7, 2.9, 1.4, 5, 2, 1, 3.3
65, 1, 31, 1, 72.8, 3.6, 2.9, 1.3, 1, 1, 1, 5.6
66, 2, 35, 1, 87.1, 4.4, 3.1, 1.4, 1, 2, 9, 999.0
67, 2, 52, 1, 72.8, 4.5, 3.0, 1.5, 3, 1, 1, 5.6
68, 1, 49, 2, 75.4, 4.1, 2.7, 1.0, 1, 2, 9, 999.0
69, 1, 52, 1, 80.6, 4.5, 2.2, 1.5, 1, 1, 1, 6.2
70, 1, 27, 3, 72.8, 3.9, 2.5, 1.1, 5, 2, 9, 999.0
71, 2, 39, 2, 76.7, 4.8, 3.2, 1.8, 1, 1, 1, 5.9
72, 2, 40, 1, 79.3, 4.0, 2.8, 1.3, 3, 2, 1, 3.4
73, 2, 53, 3, 81.9, 4.9, 2.5, 1.5, 1, 1, 1, 6.3
74, 2, 30, 3, 79.3, 4.7, 2.8, 1.2, 5, 2, 9, 999.0
75, 2, 21, 3, 83.2, 4.3, 2.9, 1.3, 1, 1, 1, 6.4
76, 1, 28, 2, 85.8, 4.4, 3.0, 1.4, 2, 2, 1, 3.0
77, 1, 42, 3, 88.4, 4.8, 2.8, 1.4, 3, 1, 1, 6.8
78, 1, 20, 2, 87.1, 5.0, 3.0, 1.7, 1, 2, 9, 999.0
79, 2, 49, 3, 78.0, 4.5, 2.9, 1.5, 4, 1, 1, 999.0
80, 1, 58, 2, 74.1, 3.5, 2.6, 1.0, 1, 2, 1, 5.2
81, 2, 60, 1, 71.5, 3.8, 2.4, 1.1, 3, 1, 1, 5.5
82, 1, 30, 2, 71.5, 3.7, 2.4, 1.0, 1, 2, 1, 999.0
83, 1, 49, 3, 75.4, 3.9, 2.7, 1.2, 4, 1, 1, 5.8
84, 2, 25, 1, 78.0, 5.1, 2.7, 1.6, 1, 2, 9, 999.0
85, 1, 39, 2, 70.2, 4.5, 3.0, 1.5, 3, 1, 1, 5.4
86, 2, 39, 1, 78.0, 4.5, 3.4, 1.6, 2, 2, 1, 6.0
87, 2, 32, 3, 87.1, 4.7, 3.1, 1.5, 1, 1, 1, 6.7
88, 2, 46, 3, 81.9, 4.4, 2.3, 1.3, 4, 2, 1, 5.2
89, 1, 39, 1, 72.8, 4.1, 3.0, 1.3, 1, 1, 1, 5.6
90, 1, 34, 3, 71.5, 4.0, 2.5, 1.3, 2, 2, 1, 999.0
91, 1, 53, 3, 71.5, 4.4, 2.6, 1.2, 3, 1, 1, 5.5
92, 1, 33, 3, 79.3, 4.6, 3.0, 1.4, 1, 2, 1, 6.1
93, 2, 55, 3, 75.4, 4.0, 2.6, 1.2, 4, 1, 1, 999.0
94, 2, 37, 3, 65.0, 3.3, 2.3, 1.0, 1, 2, 1, 5.0
95, 2, 27, 3, 72.8, 4.2, 2.7, 1.3, 2, 1, 9, 999.0
96, 1, 49, 2, 74.1, 4.2, 3.0, 1.2, 3, 2, 1, 5.7
97, 1, 32, 3, 74.1, 4.2, 2.9, 1.3, 1, 1, 1, 5.7
98, 1, 23, 2, 80.6, 4.3, 2.9, 1.3, 4, 2, 9, 999.0
99, 1, 49, 2, 66.3, 3.0, 2.5, 1.1, 2, 1, 1, 5.1
100, 1, 33, 3, 74.1, 4.1, 2.8, 1.3, 1, 2, 1, 5.7
101, 2, 39, 2, 81.9, 6.0, 3.3, 2.5, 3, 1, 1, 6.3
102, 2, 27, 2, 75.4, 5.1, 2.7, 1.9, 2, 2, 9, 999.0
103, 2, 28, 1, 92.3, 5.9, 3.0, 2.1, 4, 1, 1, 7.1
104, 2, 29, 1, 81.9, 5.6, 2.9, 1.8, 1, 2, 1, 999.0
105, 2, 56, 1, 84.5, 5.8, 3.0, 2.2, 2, 1, 1, 6.5
106, 1, 50, 3, 98.8, 6.6, 3.0, 2.1, 1, 2, 9, 999.0
107, 1, 27, 2, 63.7, 4.5, 2.5, 1.7, 3, 1, 1, 4.9
108, 1, 28, 1, 94.9, 6.3, 2.9, 1.8, 2, 2, 1, 6.2
109, 2, 20, 3, 87.1, 5.8, 2.5, 1.8, 2, 1, 9, 999.0
110, 2, 40, 3, 93.6, 6.1, 3.6, 2.5, 3, 2, 1, 7.2
111, 2, 21, 2, 84.5, 5.1, 3.2, 2.0, 1, 1, 1, 6.5
112, 2, 41, 2, 83.2, 5.3, 2.7, 1.9, 4, 2, 1, 6.4
113, 1, 28, 1, 88.4, 5.5, 3.0, 2.1, 2, 1, 1, 6.8
114, 1, 38, 2, 74.1, 5.0, 2.5, 2.0, 3, 2, 9, 999.0
115, 1, 51, 2, 75.4, 5.1, 2.8, 2.4, 1, 1, 1, 5.8
116, 1, 53, 3, 83.2, 5.3, 3.2, 2.3, 3, 2, 9, 999.0
117, 2, 26, 2, 84.5, 5.5, 3.0, 1.8, 1, 1, 1, 999.0
118, 2, 46, 1, 100.1, 6.7, 3.8, 2.2, 3, 2, 1, 6.7
119, 1, 48, 1, 100.1, 6.9, 2.6, 2.3, 2, 1, 1, 7.7
120, 1, 38, 1, 78.0, 5.0, 2.2, 1.5, 2, 2, 9, 999.0
121, 1, 33, 2, 89.7, 5.7, 3.2, 2.3, 1, 1, 1, 6.9
122, 1, 41, 3, 72.8, 4.9, 2.8, 2.0, 4, 2, 1, 999.0
123, 1, 57, 2, 100.1, 6.7, 2.8, 2.0, 1, 1, 1, 7.7
124, 2, 54, 1, 81.9, 4.9, 2.7, 1.8, 3, 2, 1, 999.0
125, 2, 46, 1, 87.1, 5.7, 3.3, 2.1, 2, 1, 1, 6.7
126, 2, 20, 3, 93.6, 6.0, 3.2, 1.8, 3, 2, 9, 999.0
127, 1, 36, 2, 80.6, 4.8, 2.8, 1.8, 2, 1, 1, 6.2
128, 2, 23, 3, 79.3, 4.9, 3.0, 1.8, 1, 2, 9, 999.0
129, 1, 40, 1, 83.2, 5.6, 2.8, 2.1, 4, 1, 1, 6.4
130, 1, 38, 2, 93.6, 5.8, 3.0, 1.6, 1, 2, 1, 5.8
131, 1, 24, 3, 96.2, 6.1, 2.8, 1.9, 2, 1, 9, 999.0
132, 1, 39, 3, 102.7, 6.4, 3.8, 2.0, 3, 2, 1, 7.9
133, 2, 55, 2, 83.2, 5.6, 2.8, 2.2, 1, 1, 1, 6.4
134, 2, 29, 1, 81.9, 5.1, 2.8, 1.5, 2, 2, 1, 6.3
135, 2, 28, 3, 79.3, 5.6, 2.6, 1.4, 1, 1, 1, 6.1
136, 1, 38, 3, 100.1, 6.1, 3.0, 2.3, 1, 2, 9, 999.0
137, 2, 53, 2, 81.9, 5.6, 3.4, 2.4, 3, 1, 1, 6.3
138, 2, 28, 1, 83.2, 5.5, 3.1, 1.8, 1, 2, 1, 999.0
139, 2, 37, 2, 78.0, 4.8, 3.0, 1.8, 1, 1, 1, 6.0
140, 1, 60, 2, 89.7, 5.4, 3.1, 2.1, 2, 2, 1, 6.9
141, 1, 29, 3, 87.1, 5.6, 3.1, 2.4, 1, 1, 1, 999.0
142, 1, 22, 2, 89.7, 5.1, 3.1, 2.3, 3, 2, 1, 4.3
143, 2, 45, 3, 75.4, 5.1, 2.7, 1.9, 1, 1, 1, 999.0
144, 1, 28, 3, 88.4, 5.9, 3.2, 2.3, 2, 2, 1, 999.0
145, 1, 45, 1, 87.1, 5.7, 3.3, 2.5, 1, 1, 1, 6.7
146, 1, 28, 2, 87.1, 5.2, 3.0, 2.3, 2, 2, 1, 5.4
147, 2, 47, 2, 81.9, 5.0, 2.5, 1.9, 1, 1, 9, 999.0
148, 1, 55, 1, 84.5, 5.2, 3.0, 2.0, 2, 2, 1, 6.5
149, 1, 41, 2, 80.6, 5.4, 3.4, 2.3, 1, 1, 1, 6.2
150, 2, 50, 2, 76.7, 5.1, 3.0, 1.8, 1, 2, 1, 5.9
